u8,4,1.074,0.846,6.175
u8,8,1.075,1.220,9.719
u8,12,1.070,1.605,11.792
u8,16,1.068,1.599,13.106
u8,20,1.093,2.087,14.000
u8,24,1.108,2.093,15.070
u8,28,1.077,2.091,15.828
u8,32,1.084,2.070,16.599
u8,40,3.135,2.552,17.144
u8,44,3.845,2.573,17.580
u8,48,4.321,2.550,18.085
u8,52,4.845,2.546,18.608
u8,60,4.720,2.514,19.288
u8,64,4.827,2.513,19.738
u8,96,6.598,3.052,21.261
u8,128,6.900,3.030,22.526
u8,192,8.065,3.722,24.514
u8,256,8.434,3.705,25.419
u16,4,1.101,0.887,6.574
u16,8,1.103,1.237,9.922
u16,12,1.092,1.619,11.935
u16,16,1.089,1.633,13.388
u16,20,3.013,2.060,14.113
u16,24,4.177,2.058,15.083
u16,28,5.105,2.044,15.771
u16,32,4.780,2.028,16.584
u16,40,6.020,2.563,17.391
u16,44,6.427,2.572,17.737
u16,48,6.463,2.548,18.346
u16,52,6.875,2.541,18.637
u16,60,8.100,2.554,19.627
u16,64,7.002,2.541,19.802
u16,96,8.177,3.042,21.652
u16,128,9.435,3.076,23.634
u16,192,11.378,3.788,25.338
u16,256,12.043,3.765,27.114
u16,384,14.108,4.315,28.272
u16,512,16.829,4.336,31.347
u16,768,18.482,5.031,32.555
u16,1024,20.964,5.006,34.510
u16,1536,25.961,5.848,35.985
u16,2048,30.438,5.918,38.338
u16,2560,34.840,6.529,39.331
u16,3072,40.274,6.604,40.041
u16,3584,44.404,6.619,41.190
u16,4096,50.150,6.749,42.370
u16,6144,69.192,7.227,43.830
u16,8192,88.102,7.135,44.796
u16,12288,127.211,7.909,47.570
u16,16384,163.752,7.924,48.145
u16,24576,242.817,9.229,49.573
u16,32768,365.628,10.572,52.589
u16,49152,595.108,11.430,54.179
u16,65536,809.622,14.318,59.707
u32,4,1.092,0.911,6.417
u32,8,1.093,1.217,10.046
u32,12,4.818,1.604,12.050
u32,16,4.956,1.588,13.429
u32,20,6.617,2.085,14.419
u32,24,6.782,2.082,15.269
u32,28,7.990,2.047,16.087
u32,32,7.017,2.052,16.801
u32,40,8.384,2.560,17.384
u32,44,7.906,2.557,17.861
u32,48,7.986,2.579,18.588
u32,52,8.293,2.558,19.078
u32,60,8.608,2.588,19.623
u32,64,8.684,2.569,20.091
u32,96,10.859,3.070,21.654
u32,128,11.477,3.074,23.188
u32,192,13.429,3.775,24.686
u32,256,14.800,3.791,26.165
u32,384,17.392,4.322,28.633
u32,512,20.359,4.325,30.812
u32,768,26.550,5.053,32.652
u32,1024,30.916,5.158,35.699
u32,1536,40.959,5.932,37.370
u32,2048,52.331,5.898,38.973
u32,2560,60.027,6.688,40.097
u32,3072,70.046,6.733,41.604
u32,3584,79.553,6.642,41.393
u32,4096,88.235,6.608,42.040
u32,6144,127.343,7.208,44.291
u32,8192,163.744,7.260,45.923
u32,12288,238.663,8.193,47.330
u32,16384,319.584,9.808,50.068
u32,24576,474.234,10.891,53.024
u32,32768,621.889,13.520,57.772
u32,49152,933.876,14.416,58.912
u32,65536,1240.369,17.092,63.680
u32,98304,1823.275,17.818,65.423
u32,131072,2460.709,20.653,71.243
u32,196608,3779.171,21.907,73.344
u32,262144,5036.832,25.346,81.848
u32,393216,8161.339,25.980,83.924
u32,524288,11051.664,31.441,93.237
u32,786432,19917.356,32.461,94.460
u32,1048576,29191.970,45.581,117.839
