u8,32,0.735,2.192,17.002
u8,64,3.981,2.641,21.089
u8,96,5.234,3.187,22.441
u8,128,6.380,3.157,25.251
u8,192,6.752,3.788,26.996
u8,256,8.632,3.784,29.263
u16,16,0.883,1.945,13.715
u16,32,4.438,2.384,17.085
u16,48,5.789,2.975,18.953
u16,64,6.882,2.947,21.665
u16,96,7.465,3.580,22.797
u16,128,9.461,3.581,25.174
u16,192,10.242,4.197,26.601
u16,256,10.639,4.185,29.093
u16,384,11.874,5.021,30.591
u16,512,15.160,5.036,32.738
u16,768,18.409,5.731,34.591
u16,1024,21.193,5.661,36.483
u16,1536,27.636,6.401,38.346
u16,2048,34.249,6.348,40.424
u16,2560,40.261,7.024,40.662
u16,3072,46.932,7.054,41.989
u16,3584,52.731,7.020,42.796
u16,4096,58.764,7.059,43.175
u16,6144,83.966,8.040,45.944
u16,8192,108.703,8.021,46.423
u16,12288,158.861,9.085,48.693
u16,16384,204.688,9.115,49.681
u16,24576,309.029,9.946,52.489
u16,32768,417.083,11.545,55.237
u16,49152,626.065,11.941,56.757
u16,65536,837.113,14.986,63.400
u32,8,0.871,1.554,10.331
u32,16,4.409,1.974,13.587
u32,24,5.801,2.469,15.389
u32,32,6.879,2.455,16.772
u32,40,7.926,3.007,17.755
u32,48,7.397,2.983,18.533
u32,64,9.284,2.977,20.824
u32,96,10.224,3.520,22.254
u32,128,10.377,3.514,24.316
u32,192,11.818,4.133,26.060
u32,256,14.057,4.141,28.409
u32,384,17.311,4.942,30.558
u32,512,20.436,4.949,32.738
u32,768,27.149,5.627,34.733
u32,1024,33.026,5.676,36.269
u32,1536,45.434,6.477,38.263
u32,2048,57.631,6.376,40.134
u32,2560,70.270,7.129,41.076
u32,3072,82.101,7.140,41.850
u32,3584,94.727,7.066,42.628
u32,4096,106.597,7.179,43.164
u32,6144,157.482,8.016,45.028
u32,8192,205.298,7.951,46.316
u32,12288,307.406,9.353,48.660
u32,16384,410.427,10.870,51.725
u32,24576,604.001,11.199,53.399
u32,32768,799.651,14.254,58.989
u32,49152,1207.690,14.167,59.979
u32,65536,1656.079,16.927,65.398
u32,98304,2466.550,17.380,66.965
u32,131072,3231.490,19.951,72.554
u32,196608,4794.270,21.792,74.328
u32,262144,6462.236,25.184,81.663
u32,393216,10538.802,27.388,83.493
u32,524288,13923.029,34.961,93.076
u32,786432,24164.925,37.253,95.559
u32,1048576,32861.565,52.020,119.268
